ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,OnParam_OnAfterRender,475,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam,405,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam_OnInit,408,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,FINISH,469,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,GenerateOrders,355,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,OnInit_OnParam,391,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,OnParam_OnAfterRender,453,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,PopulateChartOrderState,11,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam,8,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam_OnInit,21,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,FINISH,477,Version0
BenchmarkComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,OnInit_OnParam,409,Version0
BenchmarkComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,OnParam_OnAfterRender,477,Version0
BenchmarkComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,SetParam,406,Version0
BenchmarkComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,SetParam_OnInit,409,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,FINISH,471,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,GenerateOrders,356,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,OnInit_OnParam,392,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,OnParam_OnAfterRender,455,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,PopulateChartOrderState,11,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,SetParam,8,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,SetParam_OnInit,21,Version0
VersionComponent,22241bf5-3b41-4425-bd5e-c53c0eb81c0a,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,FINISH,479,Version0
BenchmarkComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,OnInit_OnParam,413,Version0
BenchmarkComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,OnParam_OnAfterRender,479,Version0
BenchmarkComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,SetParam,410,Version0
BenchmarkComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,SetParam_OnInit,413,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,FINISH,473,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,GenerateOrders,357,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,OnInit_OnParam,395,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,OnParam_OnAfterRender,457,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,PopulateChartOrderState,12,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,SetParam,9,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,SetParam_OnInit,22,Version0
VersionComponent,2c08127d-b694-4640-8b8f-abcefe155c0f,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,FINISH,503,Version0
BenchmarkComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,OnInit_OnParam,436,Version0
BenchmarkComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,OnParam_OnAfterRender,503,Version0
BenchmarkComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,SetParam,433,Version0
BenchmarkComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,SetParam_OnInit,436,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,FINISH,498,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,GenerateOrders,383,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,OnInit_OnParam,419,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,OnParam_OnAfterRender,482,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,PopulateChartOrderState,12,Version0
VersionComponent,2e220eb1-d460-4d78-99d0-324de9bb6d63,SetParam,8,Version0
